freq,age,sex,isco08,isced11,unit,geo\TIME_PERIOD	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,Y20-64,F,NRP,ED0-2,THS_PER,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: bu	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,Y20-64,F,NRP,ED0-2,THS_PER,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	470.7 b	: u	: u	: u	: u	: u	3.2 bu	: bu	: u	: bu	: u	: u	: u	3.3 bu	3.3 u	4.2 u	: bu	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,Y20-64,F,NRP,ED0-2,THS_PER,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: bu	: u	: bu	: u	: bu	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,Y20-64,F,NRP,ED0-2,THS_PER,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: bu	: u	: u	: u	: u	2.3 u	: u	: bu	: u	: u	: u	: u	: bu	1.2 bu	: u	: u	: bu	: u	: u	: u	: u	: u	: u	10.0 b	15.3 	12.5 
A,Y20-64,F,NRP,ED0-2,THS_PER,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u	: 	: u	: 	: 	: u	: 	: 	: 	: bu	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,Y20-64,F,NRP,ED0-2,THS_PER,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	110.9 b	92.6 	73.2 	75.5 	51.1 b	43.5 	: 	43.7 	44.9 	52.6 	48.9 	44.9 	36.4 	50.7 b	44.3 b	37.9 	39.5 	40.2 	38.2 b	27.3 b	: 	: u	: bu	: u	: u	: u	: u	: u	75.5 b	: bu	13.5 u	15.6 u
A,Y20-64,F,NRP,ED0-2,THS_PER,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bu	: u	: u	: u	: u	: u	: bu	: u	: u	: u	: u	: bu	: 	: bu	: u	: bu	: bu	: 	: u	: bu	: u	: u	: bu	: u	3.0 bu	: bu	: u	: u	: u	: bu	: u	: bu
A,Y20-64,F,NRP,ED0-2,THS_PER,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95.1 	69.9 u	45.0 u	60.6 b	54.2 	50.5 	48.1 	47.8 	47.8 	36.8 b	7.7 u	16.5 	17.4 b	9.2 u	10.1 	12.5 	14.2 	11.8 	83.1 	53.7 b	32.9 	33.2 
A,Y20-64,F,NRP,ED0-2,THS_PER,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 	: u	: 	: 	: 
A,Y20-64,F,NRP,ED0-2,THS_PER,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96.8 	71.7 	45.7 u	61.0 b	54.9 	50.9 	48.4 	48.4 	48.1 	37.3 b	8.8 u	18.3 	23.2 b	12.5 u	16.5 	15.2 	15.6 	14.4 u	85.4 	57.7 b	36.1 	36.9 
A,Y20-64,F,NRP,ED0-2,THS_PER,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	237.8 	223.0 	2.0 u	: bu	: u	: bu	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: u	: bu	: u	: u	: bu	: u	: u	: u	: u	: u	: u	: bu	: u	: u
A,Y20-64,F,NRP,ED0-2,THS_PER,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u	: bu	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: u	: u	: u	: bu	: u	5.5 bu	9.2 bu	0.9 u	2.7 u	2.4 u	: u	: u	: u	34.4 bd	12.2 d	7.9 du
A,Y20-64,F,NRP,ED0-2,THS_PER,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: bu	: 	: 
A,Y20-64,F,NRP,ED0-2,THS_PER,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bu	: u	: u	: 	: bu	: u	: 	: 	: 	: 	: 	: 	: u	4.5 bu	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,Y20-64,F,NRP,ED0-2,THS_PER,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bu	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: bu	: 	: bu	: u	: u	: u	: bu	: u	: u	: bu	: u	: u	: bu	: u	: u	: u	: bu	: u	: u
A,Y20-64,F,NRP,ED0-2,THS_PER,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bu	: u	1.4 b	: u	: u	: u	: u	: u	: bu	1.0 	: 	: 	: u	: u	: u	: u	: 	: 	: 	: u	: 
A,Y20-64,F,NRP,ED0-2,THS_PER,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	106.3 b	82.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bu	: 	: 	: 	: 	: 
A,Y20-64,F,NRP,ED0-2,THS_PER,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bu	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,Y20-64,F,NRP,ED0-2,THS_PER,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bu	: 	: u	: u	: 	: 	: 	: 	: u	: u	: 	: bu	: u	: bu	: 	: 	: 	: bu	: u	: bu	: u	: u	: bu	: bu	0.6 u	0.6 u	0.7 u	0.6 u	0.7 u	0.9 bu	0.7 u	: u
A,Y20-64,F,NRP,ED0-2,THS_PER,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u	: 	: 	: u	: 	: u	: 	: 	: 	: 	: u	: bu	: u	: u
